t,S,I,R,Re
26.6,276.48241347346834,87.69501312459413,635.8225734019376,0.5529648269469367
26.7,275.2701070295546,86.71494424039304,638.0149487300524,0.5505402140591091
26.8,274.07660543044886,85.74057223348896,640.1828223360623,0.5481532108608976
26.9,272.90163118117795,84.77203217692268,642.3263366418995,0.5458032623623559
27.0,271.7449098881967,83.80945266548089,644.4456374463226,0.5434898197763932
27.1,270.6061702800787,82.85295595696188,646.5408737629597,0.5412123405601572
27.2,269.48514422468384,81.90265811343271,648.6121976618837,0.5389702884493676
27.3,268.38156674297966,80.95866914230106,650.6597641147195,0.5367631334859592
27.4,267.2951760196878,80.0210931370354,652.683730843277,0.5345903520393754
27.5,266.2257134109202,79.0900284173771,654.6842581717028,0.5324514268218403
27.6,265.1729234489649,78.16556766889798,656.6615088821372,0.5303458468979297
27.7,264.1365538443744,77.247798081766,658.6156480738597,0.5282731076887488
27.8,263.1163554855052,76.33680148859105,660.5468430259039,0.5262327109710103
27.9,262.1120824356503,75.4326545012312,662.4552630631187,0.5242241648713005
28.0,261.12349192790197,74.53542864644875,664.3410794256495,0.5222469838558038
28.1,260.1503443578768,73.64519050031271,666.2044651418107,0.5203006887157535
28.2,259.1924032744289,72.76200182125278,668.0455949043185,0.5183848065488577
28.3,258.2494353684734,71.88591968167691,669.8646449498498,0.5164988707369468
28.4,257.3212104600366,71.01699659807181,671.6617929418917,0.5146424209200731
28.5,256.40750148364395,70.15528065951263,673.4372178568435,0.5128150029672879
28.6,255.50808447215448,69.30081565451428,675.1910998733314,0.5110161689443089
28.7,254.62273853914235,68.45364119616356,676.9236202646943,0.5092454770782846
28.8,253.7512458599252,67.61379284547662,678.6349612945984,0.5075024917198503
28.9,252.89339165133248,66.78130223293243,680.3253061157353,0.5057867833026648
29.0,252.04896415030353,65.95619717813807,681.9948386715587,0.504097928300607
29.1,251.2177545914014,65.13850180758676,683.6437436010121,0.5024355091828027
29.2,250.3995571833239,64.3282366704746,685.2722061462018,0.5007991143666476
29.3,249.59416908449037,63.525418852546274,686.8804120629637,0.4991883381689805
29.4,248.8013903777781,62.730062087944894,688.4685475342774,0.49760278075555603
29.5,248.02102404447984,61.94217686904452,690.036799086476,0.4960420480889595
29.6,247.25287593754962,61.16177055424865,691.585353508202,0.49450575187509904
29.7,246.4967547542011,60.38884747374096,693.1143977720583,0.49299350950840204
29.8,245.75247200791992,59.62340903317862,694.6241189589018,0.49150494401583966
29.9,245.01984199994777,58.8654538153213,696.1147041847313,0.4900396839998954
30.0,244.2986817902935,58.114977679592535,697.5863405301143,0.4885973635805868
30.1,243.58881116832367,57.37197385957256,699.0392149721041,0.4871776223366472
30.2,242.890052622982,56.63643305842492,700.4735143185934,0.4857801052459639
30.3,242.20223131268506,55.908343542261235,701.889425145054,0.48440446262536996
30.4,241.52517503493846,55.187691231451296,703.2871337336105,0.4830503500698768
30.5,240.85871419571595,54.47445978988753,704.6668260143967,0.4817174283914318
30.6,240.20268177864102,53.76863071221527,706.028687509144,0.4804053635572819
30.7,239.55691331400905,53.07018340904186,707.3729032769494,0.479113826628018
30.8,238.92124684768513,52.37909529013973,708.6996578621754,0.47784249369537013
30.9,238.29552290991143,51.69534184565993,710.0091352444289,0.47659104581982276
31.0,237.6795844840555,51.01889672537434,711.3015187905704,0.4753591689681109
31.1,237.0732769753294,50.349731815966074,712.5769912087047,0.4741465539506587
31.2,236.4764481795074,49.68781731638892,713.8357345041039,0.4729528963590147
31.3,235.8889482516688,49.03312181131779,715.0779299370137,0.4717778965033375
31.4,235.31062967499042,48.38561234271323,716.3037579822966,0.4706212593499807
31.5,234.74134722961173,47.74525447952409,717.5133982908644,0.46948269445922336
31.6,234.18095796159452,47.1120123855532,718.7070296528525,0.46836191592318893
31.7,233.62932115199715,46.485848885511736,719.8848299624914,0.46725864230399416
31.8,233.08629828608233,45.866725529288765,721.0469761846292,0.46617259657216453
