t,prey,predator
152.72,33.85065584744701,10.350815375452525
152.73,33.81443012549148,10.354801118227657
152.74,33.77821621584184,10.358750884760541
152.75,33.742014406635384,10.362664644817407
152.76,33.70582498509471,10.36654236885661
152.77,33.66964823752275,10.370384028028566
152.78,33.633484449297924,10.374189594175654
152.79,33.59733390486927,10.377959039832104
152.8,33.56119688775168,10.381692338223838
152.81,33.52507368052119,10.385389463268286
152.82,33.48896456481032,10.389050389574178
152.83,33.45286982130343,10.392675092441303
152.84,33.41678972973222,10.396263547860233
152.85,33.38072456887121,10.399815732512025
152.86,33.34467461653328,10.403331623767889
152.87,33.30864014956533,10.406811199688828
152.88,33.27262144384391,10.410254439025252
152.89,33.236618774270994,10.413661321216555
152.9,33.200632414769736,10.41703182639067
152.91,33.16466263828031,10.420365935363593
152.92,33.12870971675584,10.42366362963888
152.93,33.09277392115832,10.426924891407104
152.94,33.05685552145463,10.430149703545306
152.95,33.020954786612634,10.433338049616394
152.96,32.98507198459728,10.436489913868527
152.97,32.94920738236679,10.439605281234469
152.98,32.91336124586886,10.44268413733091
152.99,32.87753384003704,10.445726468457764
153.0,32.84172542878698,10.44873226159744
153.01,32.80593627501291,10.451701504414077
153.02,32.77016664058407,10.454634185252761
153.03,32.73441678634124,10.45753029313871
153.04,32.698686972093306,10.460389817776433
153.05,32.66297745661389,10.463212749548857
153.06,32.62728849763805,10.465999079516438
153.07,32.59162035185901,10.468748799416229
153.08,32.55597327492495,10.471461901660936
153.09,32.5203475214359,10.47413837933794
153.1,32.484743344940604,10.476778226208294
153.11,32.4491609979335,10.479381436705694
153.12,32.413600731851744,10.481948005935418
153.13,32.37806279707231,10.484477929673254
153.14,32.34254744290909,10.486971204364382
153.15,32.30705491761008,10.489427827122247
153.16,32.271585468354665,10.491847795727395
153.17,32.23613934125086,10.494231108626291
153.18,32.20071678133272,10.496577764930109
153.19,32.16531803255771,10.498887764413494
153.2,32.129943337804164,10.501161107513303
153.21,32.09459293886886,10.503397795327318
153.22,32.059267076464515,10.50559782961294
153.23,32.023965990217484,10.50776121278585
153.24,31.988689918665386,10.509887947918651
153.25,31.953439099254876,10.511978038739484
153.26,31.918213768339417,10.514031489630622
153.27,31.88301416117714,10.516048305627038
153.28,31.84784051192873,10.518028492414949
153.29,31.812693053655387,10.519972056330339
153.3,31.777572018316828,10.521879004357455
153.31,31.742477636769348,10.523749344127282
153.32,31.707410138763933,10.525583083915993
153.33,31.672369752944427,10.527380232643381
153.34,31.637356706845747,10.529140799871263
153.35,31.602371226892167,10.530864795801861
153.36,31.56741353839563,10.532552231276169
153.37,31.532483865554138,10.534203117772284
153.38,31.497582431450166,10.53581746740373
153.39,31.462709458049165,10.537395292917745
153.4,31.427865166198078,10.53893660769356
153.41,31.393049775623936,10.540441425740651
153.42,31.358263504932495,10.541909761696962
153.43,31.323506571606924,10.543341630827122
153.44,31.288779192006547,10.544737049020632
153.45,31.25408158136564,10.546096032790029
153.46,31.21941395379226,10.547418599269033
153.47,31.18477652226715,10.548704766210676
153.48,31.150169498642686,10.54995455198541
